,date,venue,result,gf,ga,opponent,xg,xga,poss,sh,sot,dist,fk,team,venue_c,opp_c,target,gfR,gaR,possR,shR,sotR,distR,fkR
,2022-08-30,Home,,2,4,Brentford,0,2,25,2,2,18,0,Crystal Palace,0,13,0,1,1,46,11,4,15,0
,2022-08-30,Away,,1,1,Crystal Palace,3,2,58,20,4,14,0,Brentford,1,8,0,3,2,45,11,5,16,0
,2022-08-30,Home,,1,2,Brighton,1,2,29,11,3,13,0,Fulham,0,0,0,2,1,39,11,4,16,0
,2022-08-30,Away,,1,0,Fulham,2,1,43,13,4,14,0,Brighton and Hove Albion,1,10,1,1,0,47,13,3,17,0
,2022-08-30,Home,,0,1,Chelsea,2,1,49,18,5,13,0,Southampton,1,14,0,2,2,41,11,3,16,0
,2022-08-30,Away,,2,1,Southampton,2,2,46,7,3,14,0,Chelsea,1,11,1,1,2,63,15,4,17,0
,2022-08-30,Home,,0,1,Everton,1,2,57,10,2,17,1,Leeds,0,4,0,2,1,45,12,5,16,0
,2022-08-30,Away,,1,1,Leeds,2,3,42,14,7,16,0,Everton,0,3,0,1,1,43,14,5,16,0
